masv,diem10%.1,diem10%.2,diem20%,diemthi
a13,9,7,6.5,6.5
a14,7,7,6,6.75
a15,9,7,6,5
a16,10,8,7,6.75
a17,10,8,7,5.5
a18,10,8,7,7.5
a19,9,7,6,6.5
a20,7,6,5,4.5
a21,9,7,6,7.75
a22,0,0,0,
a23,9,7,6,6.75
a24,9,7,6,5.5
a25,9,7,6,7.5
a26,0,0,0,
a27,10,8,7,7.5
a28,10,8,7,6
a29,9,7,6,7
a30,10,8,7,6.5
a31,9,7,6,6
b1,9,7,6,6
b2,9,7,6,6
b3,10,9,7,7.25
b4,9,7,6,6
b5,10,8,7,7.5
b6,9,7,6.5,6.5
b7,0,0,0,
b8,10,8,6,7.25
b9,10,8,8,8
b10,10,8,7.5,8.75
b11,9,7,6,5.5
b12,9,7,6,6
b13,10,8,7,7.5
b14,0,0,0,
b15,10,8,7,7
b16,10,8,6,7.5
b17,10,9,7,7.25
b18,6,5,5,5
b19,9,7,6,6
b20,10,9,7,6.5
b21,9,7,6,6
b22,9,7,6,3.5
b23,10,8,7,8
b24,9,6,6,6.5
b25,10,7,6,6
b26,10,7,6,7
b27,10,6,6,6
b28,10,7,6,7
b29,10,8,6.5,7.5
b30,9,8,6,5.5
b30,9,7,6,6.5
b31,10,7,6,6
b32,9,7,6,5.5
b34,9,7,6,4.5
b35,9,7,6,
b36,0,0,0,
b37,10,9,7,7.5
b38,10,8,7,7
b39,10,8,7.5,7.25
b40,0,0,0,
b41,9,7,6,6.5
b42,0,0,0,
b43,10,8,7,7.25
b44,10,8,7,7.25
b45,10,7,6,6
b46,10,8,7.5,7
b47,0,0,0,
b48,10,8,7,7
b49,9,7,6,6
b50,7,6,5,5
b51,9,7,6,6
b52,9,7,6,5.5
b53,10,8,7,6.75
b54,10,8,6,7
31_011,8.375,7.25,9,
31_012,8.25,7.25,9,
31_013,8.5,7.5,10,
31_014,4,7.25,9,
31_015,8.75,7.5,9.5,
31_021,7.75,7.75,7.5,
31_022,7,3,7,
31_023,7.5,7.5,7.5,
31_024,7,7,7,
31_025,7.25,7,7.5,
31_031,7.625,7.25,7.25,
31_032,7.75,7.25,7.5,
31_033,7.625,7.375,7.5,
31_034,7.5,6.5,7,
31_035,7.5,7.25,7.25,
31_041,8.5,8,9,
31_042,8.125,7.625,7.75,
31_043,8.125,7.625,7.75,
31_044,8.25,7.875,7.5,
31_045,8,7.25,8,
31_051,7.75,7,7.5,
31_052,8.25,7.25,8,
31_053,3.5,0,0,
31_054,8.75,8,8.5,
31_055,7.75,7.25,8,
31_061,8,7,7.5,
31_062,7.75,7.625,7.5,
31_063,7.25,7.5,7,
31_064,3.75,7,7,
31_065,8,7.125,7.25,
31_071,7.75,7,7,
31_072,8.125,7.25,7.5,
31_073,8.5,3.75,7,
31_074,8,3.75,8,
31_075,8.375,7.675,7.5,
31_081,7.5,7.5,8,
31_082,8.25,7.75,8,
31_083,7,7,8,
31_084,8.25,8,8.25,
31_011,8.375,7.25,8.5,9
31_012,8.25,7.25,8.5,9
31_013,8.5,7.5,8.5,10
31_014,4,7.25,8.5,9
31_015,8.75,7.5,8.5,9.5
31_021,7.75,7.75,7.75,7.5
31_022,7,3,7,7
31_023,7.5,7.5,7.5,7.5
31_024,7,7,7,7
31_025,7.25,7,7,7.5
31_031,7.625,7.25,7,7.25
31_032,7.75,7.25,7.25,7.5
31_033,7.625,7.375,7.75,7.5
31_034,7.5,6.5,6.75,7
31_035,7.5,7.25,7,7.25
31_041,8.5,8,9,9
31_042,8.125,7.625,7.5,7.75
31_043,8.125,7.625,7.75,7.75
31_044,8.25,7.875,8,7.5
31_045,8,7.25,8.25,8
31_051,7.75,7,6,7.5
31_052,8.25,7.25,6.5,8
31_053,3.5,0,0,0
31_054,8.75,8,9,8.5
31_055,7.75,7.25,6.75,8
31_061,8,7,7,7.5
31_062,7.75,7.625,7.5,7.5
31_063,7.25,7.5,7,7
31_064,3.75,7,7,7
31_065,8,7.125,7,7.25
31_071,7.75,7,7,7
31_072,8.125,7.25,7,7.5
31_073,8.5,3.75,7,7
31_074,8,3.75,7,8
31_075,8.375,7.675,7,7.5
31_081,7.5,7.5,7.5,8
31_082,8.25,7.75,7,8
31_083,7,7,7,8
31_084,8.25,8,7.5,8.25
31_085,7.75,7,7,8
31_091,8.25,7.25,7,8
31_092,7.75,7,6.5,7.25
31_093,7.4,6.75,6,7
31_094,7.5,6,6,6.5
31_095,0,0,0,0
31_101,7.75,6.5,7.5,7.5
31_102,8,7.25,7.5,7.5
31_103,8.25,8.25,8.5,8
31_104,8,7,7.5,7.5
31_105,8.25,7.5,7.5,7.75
31_111,8,7.875,6.5,7.75
31_112,8.25,7.5,6.5,7.5
31_113,7.75,7.5,7,7.5
31_114,8,7.25,6.5,7.5
31_115,8.125,7.875,6,7.75
31_121,7.5,6,7,6.5
31_122,7.5,7.625,8.5,8
31_123,7.25,6.5,7.5,8
31_124,7.75,8,9.5,9
31_125,7.125,7,7.5,8
31_131,0,0,0,0
31_132,7.625,7.375,7,7
31_133,0,0,0,0
31_134,0,7.75,7.5,6
31_135,7.5,7,7,7
31_141,7,6.25,6,7
31_142,0,0,0,0
31_143,0.5,5.75,5,7
31_144,7.375,7.375,6.5,7.5
31_145,3.75,2.625,6,6
31_151,8.25,7.75,8.25,8
31_152,3.5,3.25,6,6.5
31_153,7.25,6.5,6,6.5
31_154,7.75,3.5,7.5,7.5
31_155,0,0,0,0
